Date,Amount,Expense_Type,Category,Description
24-05-2023,3598,Expense,Travel,Payment for Hotels
03-07-2023,294,Income,Miscellaneous,Payment for Unexpected Expenses
05-08-2025,1229,Expense,Healthcare,Payment for Health Insurance
05-03-2024,4975,Expense,Transportation,Payment for Taxi
27-03-2023,1828,Expense,Healthcare,Payment for Doctor Visits
29-01-2023,2585,Expense,Savings & Investments,Payment for Fixed Deposits
07-09-2025,486,Expense,Transportation,Payment for Public Transport
27-09-2025,2320,Income,Groceries,Payment for Meat
21-01-2024,1874,Expense,Entertainment,Payment for Movies
06-08-2025,843,Income,Education,Payment for Stationery
21-12-2022,4318,Expense,Transportation,Payment for Fuel
15-04-2024,1330,Expense,Clothing,Payment for Accessories
08-06-2024,1788,Expense,Housing,Payment for Rent
20-09-2023,499,Expense,Housing,Payment for Property Tax
22-12-2024,2004,Expense,Clothing,Payment for Casual Wear
06-07-2024,664,Income,Entertainment,Payment for Movies
15-12-2023,4371,Expense,Utilities,Payment for Phone
25-09-2025,788,Income,Insurance,Payment for Vehicle Insurance
04-03-2024,1681,Income,Personal Care,Payment for Cosmetics
18-02-2023,4221,Income,Healthcare,Payment for Medicines
08-04-2023,3715,Expense,Savings & Investments,Payment for Mutual Funds
11-10-2023,118,Expense,Transportation,Payment for Fuel
01-05-2024,1924,Expense,Housing,Payment for Repairs
16-03-2024,919,Expense,Debt Payments,Payment for Loans
27-07-2025,1443,Income,Savings & Investments,Payment for Stocks
30-12-2022,3520,Expense,Clothing,Payment for Accessories
10-03-2024,3241,Income,Miscellaneous,Payment for Donations
07-11-2023,3169,Expense,Education,Payment for Books
15-01-2025,2165,Income,Insurance,Payment for Life Insurance
05-03-2025,4015,Expense,Savings & Investments,Payment for Stocks
24-11-2023,426,Expense,Travel,Payment for Local Transport
13-01-2024,2373,Expense,Debt Payments,Payment for EMI
09-03-2025,2865,Expense,Education,Payment for Tuition
28-03-2024,1991,Expense,Transportation,Payment for Fuel
20-06-2024,254,Income,Savings & Investments,Payment for Stocks
01-08-2025,794,Expense,Utilities,Payment for Phone
14-11-2024,3186,Expense,Dining Out,Payment for Restaurants
27-09-2023,1599,Income,Miscellaneous,Payment for Gifts
25-01-2023,4470,Expense,Miscellaneous,Payment for Unexpected Expenses
27-03-2024,2475,Income,Dining Out,Payment for Cafes
03-03-2024,2914,Expense,Groceries,Payment for Snacks
23-06-2024,4023,Income,Entertainment,Payment for Games
18-05-2025,4826,Expense,Travel,Payment for Hotels
13-05-2025,720,Expense,Entertainment,Payment for Concerts
27-02-2025,3467,Income,Travel,Payment for Hotels
16-11-2024,3115,Expense,Healthcare,Payment for Health Insurance
15-02-2025,1777,Expense,Miscellaneous,Payment for Unexpected Expenses
26-02-2024,4076,Expense,Healthcare,Payment for Health Insurance
23-04-2025,2982,Expense,Miscellaneous,Payment for Donations
10-02-2025,3864,Expense,Dining Out,Payment for Cafes
12-01-2023,1753,Expense,Transportation,Payment for Fuel
30-04-2023,3136,Income,Housing,Payment for Rent
25-01-2025,3314,Income,Housing,Payment for Property Tax
13-04-2023,4591,Expense,Clothing,Payment for Shoes
17-10-2022,103,Income,Transportation,Payment for Public Transport
01-07-2024,741,Expense,Housing,Payment for Property Tax
30-07-2025,4149,Expense,Savings & Investments,Payment for Fixed Deposits
24-08-2023,306,Expense,Utilities,Payment for Water
10-02-2025,3482,Income,Personal Care,Payment for Gym Membership
10-11-2024,883,Expense,Entertainment,Payment for Concerts
25-10-2023,2579,Expense,Utilities,Payment for Electricity
26-06-2024,2946,Income,Housing,Payment for Repairs
01-08-2023,1211,Expense,Personal Care,Payment for Salon
11-03-2025,3572,Expense,Travel,Payment for Hotels
11-07-2024,522,Income,Clothing,Payment for Shoes
16-01-2025,2076,Expense,Travel,Payment for Flights
20-07-2025,1687,Income,Healthcare,Payment for Medicines
01-03-2024,3598,Expense,Travel,Payment for Sightseeing
25-06-2024,2290,Expense,Savings & Investments,Payment for Mutual Funds
07-10-2024,2404,Expense,Transportation,Payment for Car Maintenance
10-01-2024,4904,Expense,Transportation,Payment for Public Transport
28-04-2023,955,Expense,Miscellaneous,Payment for Unexpected Expenses
26-07-2025,1233,Expense,Travel,Payment for Flights
10-12-2024,2269,Expense,Insurance,Payment for Vehicle Insurance
18-01-2024,3694,Income,Savings & Investments,Payment for Stocks
18-02-2025,1138,Income,Housing,Payment for Mortgage
01-01-2024,1242,Expense,Groceries,Payment for Dairy
08-06-2023,2178,Expense,Savings & Investments,Payment for Stocks
19-10-2024,3501,Income,Housing,Payment for Property Tax
05-06-2025,3891,Income,Healthcare,Payment for Doctor Visits
29-01-2025,381,Expense,Healthcare,Payment for Health Insurance
22-05-2023,1261,Expense,Clothing,Payment for Shoes
19-01-2024,1098,Expense,Savings & Investments,Payment for Fixed Deposits
07-08-2024,4138,Expense,Dining Out,Payment for Cafes
07-08-2025,2325,Expense,Healthcare,Payment for Doctor Visits
02-05-2023,1684,Expense,Healthcare,Payment for Medicines
30-01-2025,3655,Expense,Entertainment,Payment for Streaming Services
10-02-2023,552,Income,Debt Payments,Payment for EMI
21-03-2025,3619,Expense,Utilities,Payment for Electricity
12-11-2023,1129,Expense,Savings & Investments,Payment for Stocks
23-12-2022,1384,Expense,Entertainment,Payment for Games
06-04-2024,4697,Income,Housing,Payment for Mortgage
11-10-2023,4068,Expense,Travel,Payment for Hotels
07-09-2025,4266,Income,Healthcare,Payment for Doctor Visits
28-05-2023,2123,Income,Miscellaneous,Payment for Gifts
05-04-2025,4104,Expense,Debt Payments,Payment for EMI
21-06-2023,72,Expense,Miscellaneous,Payment for Unexpected Expenses
09-09-2024,1899,Expense,Debt Payments,Payment for Loans
07-12-2022,2213,Expense,Education,Payment for Tuition
24-11-2022,529,Expense,Savings & Investments,Payment for Stocks
06-11-2022,2404,Expense,Insurance,Payment for Vehicle Insurance
07-12-2024,2798,Expense,Travel,Payment for Sightseeing
05-08-2025,2589,Income,Personal Care,Payment for Salon
29-09-2024,4914,Expense,Housing,Payment for Rent
31-12-2024,1193,Expense,Miscellaneous,Payment for Unexpected Expenses
23-10-2024,2383,Income,Clothing,Payment for Shoes
15-09-2023,2695,Expense,Clothing,Payment for Casual Wear
08-07-2023,888,Expense,Housing,Payment for Property Tax
16-01-2023,1899,Expense,Transportation,Payment for Car Maintenance
11-07-2025,3436,Expense,Miscellaneous,Payment for Donations
25-03-2024,2902,Expense,Dining Out,Payment for Takeaway
23-10-2022,2259,Income,Utilities,Payment for Phone
18-01-2025,1442,Income,Savings & Investments,Payment for Stocks
27-11-2024,3306,Expense,Savings & Investments,Payment for Stocks
05-10-2024,2009,Expense,Insurance,Payment for Life Insurance
24-11-2022,325,Expense,Savings & Investments,Payment for Stocks
27-03-2023,4674,Expense,Dining Out,Payment for Restaurants
18-05-2023,1509,Expense,Personal Care,Payment for Gym Membership
06-09-2023,3381,Expense,Savings & Investments,Payment for Fixed Deposits
18-01-2024,1008,Income,Debt Payments,Payment for EMI
26-04-2024,1891,Income,Travel,Payment for Local Transport
27-12-2023,4109,Expense,Savings & Investments,Payment for Fixed Deposits
14-07-2023,4195,Expense,Clothing,Payment for Casual Wear
13-06-2023,3427,Expense,Clothing,Payment for Shoes
11-03-2024,2574,Expense,Travel,Payment for Hotels
15-08-2024,537,Expense,Housing,Payment for Mortgage
14-04-2025,2177,Expense,Clothing,Payment for Formal Wear
15-05-2023,1990,Expense,Transportation,Payment for Public Transport
16-05-2024,2503,Expense,Debt Payments,Payment for Loans
07-12-2023,4064,Expense,Debt Payments,Payment for EMI
26-02-2025,3847,Expense,Dining Out,Payment for Takeaway
15-07-2025,4400,Income,Savings & Investments,Payment for Mutual Funds
04-11-2023,1009,Expense,Travel,Payment for Flights
11-06-2024,2613,Expense,Clothing,Payment for Accessories
25-12-2022,513,Expense,Groceries,Payment for Vegetables
04-05-2024,1986,Expense,Education,Payment for Tuition
03-08-2023,4181,Expense,Groceries,Payment for Dairy
22-03-2025,65,Income,Housing,Payment for Repairs
06-09-2023,4120,Expense,Personal Care,Payment for Gym Membership
08-12-2023,968,Income,Education,Payment for Books
24-03-2023,1663,Income,Healthcare,Payment for Doctor Visits
14-02-2023,872,Expense,Groceries,Payment for Meat
10-04-2023,2170,Expense,Travel,Payment for Flights
28-04-2025,3441,Expense,Travel,Payment for Local Transport
06-03-2024,2016,Expense,Transportation,Payment for Public Transport
29-08-2025,1931,Expense,Utilities,Payment for Phone
31-03-2025,789,Income,Debt Payments,Payment for EMI
26-04-2023,4903,Income,Personal Care,Payment for Gym Membership
08-10-2024,3116,Expense,Personal Care,Payment for Salon
06-02-2025,3893,Income,Savings & Investments,Payment for Mutual Funds
09-05-2025,847,Expense,Travel,Payment for Flights
08-01-2025,3260,Expense,Transportation,Payment for Car Maintenance
15-02-2023,1636,Expense,Transportation,Payment for Fuel
28-11-2024,3780,Income,Groceries,Payment for Meat
27-03-2024,1827,Expense,Education,Payment for Stationery
11-07-2025,2581,Expense,Housing,Payment for Property Tax
24-11-2022,2484,Income,Clothing,Payment for Shoes
18-01-2023,3967,Expense,Insurance,Payment for Life Insurance
03-10-2022,4603,Expense,Personal Care,Payment for Cosmetics
31-07-2025,2519,Expense,Groceries,Payment for Vegetables
27-12-2022,2329,Expense,Groceries,Payment for Dairy
05-06-2024,1417,Income,Debt Payments,Payment for EMI
07-03-2025,2817,Expense,Groceries,Payment for Fruits
26-08-2024,1447,Expense,Entertainment,Payment for Concerts
14-03-2025,204,Income,Dining Out,Payment for Takeaway
26-05-2025,3236,Expense,Utilities,Payment for Internet
27-07-2024,1165,Income,Housing,Payment for Property Tax
14-05-2024,3715,Expense,Healthcare,Payment for Medicines
09-05-2024,3646,Income,Dining Out,Payment for Takeaway
26-01-2024,1164,Expense,Travel,Payment for Sightseeing
06-06-2025,749,Expense,Groceries,Payment for Dairy
27-05-2025,4250,Expense,Education,Payment for Books
28-06-2024,645,Expense,Groceries,Payment for Vegetables
21-06-2025,1063,Expense,Miscellaneous,Payment for Unexpected Expenses
07-07-2023,589,Expense,Education,Payment for Stationery
10-06-2025,61,Expense,Debt Payments,Payment for Loans
14-10-2022,1993,Expense,Transportation,Payment for Car Maintenance
21-04-2025,4509,Expense,Travel,Payment for Sightseeing
09-06-2023,711,Expense,Insurance,Payment for Vehicle Insurance
23-08-2023,4683,Expense,Miscellaneous,Payment for Gifts
25-03-2024,4459,Expense,Entertainment,Payment for Concerts
19-11-2024,1472,Income,Insurance,Payment for Home Insurance
21-06-2025,1295,Expense,Personal Care,Payment for Salon
20-01-2025,629,Income,Housing,Payment for Repairs
29-09-2023,311,Expense,Housing,Payment for Rent
14-07-2024,545,Income,Miscellaneous,Payment for Gifts
27-10-2024,4275,Expense,Healthcare,Payment for Doctor Visits
28-06-2024,4937,Expense,Clothing,Payment for Casual Wear
27-08-2025,2186,Expense,Healthcare,Payment for Doctor
09-04-2025,679,Expense,Transportation,Payment for Public Transport
18-11-2023,555,Expense,Dining Out,Payment for Restaurants
10-06-2023,256,Expense,Savings & Investments,Payment for Stocks
07-09-2024,3481,Expense,Healthcare,Payment for Doctor
27-04-2024,3180,Expense,Housing,Payment for Rent
16-03-2025,1904,Expense,Entertainment,Payment for Streaming Services
09-10-2022,1710,Expense,Insurance,Payment for Vehicle Insurance
24-10-2022,2631,Income,Miscellaneous,Payment for Gifts
12-05-2025,334,Expense,Transportation,Payment for Taxi
23-11-2023,768,Expense,Personal Care,Payment for Cosmetics
06-02-2024,4038,Expense,Healthcare,Payment for Doctor Visits
23-05-2023,551,Expense,Savings & Investments,Payment for Fixed Deposits
03-07-2025,307,Expense,Education,Payment for Tuition
05-05-2023,4955,Expense,Savings & Investments,Payment for Fixed Deposits
02-01-2024,2647,Income,Entertainment,Payment for Concerts
22-07-2024,1972,Expense,Insurance,Payment for Home Insurance
24-06-2024,1289,Income,Utilities,Payment for Phone
14-06-2025,3344,Expense,Miscellaneous,Payment for Unexpected Expenses
05-04-2023,3063,Expense,Travel,Payment for Flights
10-06-2023,4667,Income,Miscellaneous,Payment for Unexpected Expenses
05-12-2022,937,Expense,Housing,Payment for Property Tax
05-06-2024,3504,Expense,Debt Payments,Payment for Loans
30-08-2023,794,Income,Groceries,Payment for Snacks
30-07-2024,3486,Expense,Personal Care,Payment for Cosmetics
27-12-2024,1754,Income,Debt Payments,Payment for EMI
18-02-2025,260,Expense,Housing,Payment for Mortgage
25-07-2023,4114,Expense,Transportation,Payment for Taxi
20-09-2023,2006,Expense,Education,Payment for Tuition
11-06-2023,2576,Expense,Healthcare,Payment for Doctor Visits
02-07-2025,1752,Expense,Savings & Investments,Payment for Stocks
16-09-2023,4264,Income,Insurance,Payment for Home Insurance
05-03-2024,535,Expense,Transportation,Payment for Car Maintenance
05-05-2025,2206,Expense,Entertainment,Payment for Streaming Services
23-10-2024,2551,Income,Savings & Investments,Payment for Fixed Deposits
09-07-2023,3360,Expense,Insurance,Payment for Life Insurance
05-01-2023,4657,Income,Insurance,Payment for Vehicle Insurance
13-04-2023,1116,Expense,Education,Payment for Stationery
23-01-2024,4277,Expense,Groceries,Payment for Dairy
22-02-2025,1865,Expense,Clothing,Payment for Accessories
04-06-2024,2848,Expense,Miscellaneous,Payment for Donations
07-06-2024,3679,Expense,Healthcare,Payment for Medicines
01-10-2023,4106,Income,Savings & Investments,Payment for Stocks
20-04-2024,247,Expense,Personal Care,Payment for Gym Membership
10-05-2024,3421,Expense,Housing,Payment for Mortgage
29-08-2025,4365,Expense,Savings & Investments,Payment for Fixed Deposits
24-11-2023,1365,Expense,Education,Payment for Courses
11-01-2025,2622,Income,Healthcare,Payment for Doctor Visits
26-03-2024,4912,Expense,Personal Care,Payment for Cosmetics
08-12-2022,1231,Income,Dining Out,Payment for Restaurants
04-11-2024,3391,Income,Transportation,Payment for Taxi
01-08-2023,306,Expense,Debt Payments,Payment for EMI
10-10-2023,2798,Income,Housing,Payment for Property Tax
14-07-2024,2612,Income,Insurance,Payment for Home Insurance
06-08-2024,1717,Expense,Utilities,Payment for Gas
01-11-2023,2698,Income,Dining Out,Payment for Takeaway
07-05-2023,686,Income,Personal Care,Payment for Cosmetics
29-03-2023,2872,Income,Dining Out,Payment for Takeaway
01-08-2023,57,Income,Savings & Investments,Payment for Stocks
03-03-2024,1629,Expense,Travel,Payment for Sightseeing
08-07-2025,184,Expense,Healthcare,Payment for Medicines
02-10-2022,3881,Expense,Education,Payment for Courses
07-02-2025,4975,Expense,Utilities,Payment for Phone
23-01-2025,4170,Income,Insurance,Payment for Vehicle Insurance
10-12-2024,2562,Income,Debt Payments,Payment for Loans
01-05-2023,4519,Income,Clothing,Payment for Formal Wear
27-05-2025,2293,Expense,Miscellaneous,Payment for Unexpected Expenses
07-01-2023,2219,Expense,Education,Payment for Books
18-05-2025,4917,Expense,Debt Payments,Payment for Loans
23-04-2024,4704,Expense,Clothing,Payment for Casual Wear
17-07-2024,4007,Income,Insurance,Payment for Vehicle Insurance
24-04-2025,1282,Expense,Personal Care,Payment for Cosmetics
19-09-2025,3422,Expense,Groceries,Payment for Meat
12-05-2023,1003,Expense,Education,Payment for Books
11-01-2023,1588,Expense,Personal Care,Payment for Salon
08-11-2024,957,Expense,Healthcare,Payment for Doctor
01-12-2023,1730,Expense,Clothing,Payment for Accessories
06-12-2023,1959,Expense,Savings & Investments,Payment for Fixed Deposits
15-08-2025,4139,Expense,Personal Care,Payment for Gym Membership
10-08-2024,668,Expense,Miscellaneous,Payment for Unexpected Expenses
08-05-2024,2838,Income,Housing,Payment for Property Tax
25-09-2025,1959,Expense,Clothing,Payment for Accessories
10-02-2025,2894,Expense,Healthcare,Payment for Health Insurance
13-10-2024,4351,Income,Housing,Payment for Rent
08-02-2025,4728,Expense,Personal Care,Payment for Salon
01-10-2023,746,Income,Dining Out,Payment for Takeaway
06-06-2023,3454,Expense,Entertainment,Payment for Concerts
03-02-2025,4353,Expense,Travel,Payment for Local Transport
31-01-2025,454,Expense,Education,Payment for Stationery
11-04-2024,2485,Income,Utilities,Payment for Water
19-07-2023,1560,Expense,Healthcare,Payment for Doctor Visits
04-04-2025,2368,Expense,Groceries,Payment for Fruits
05-12-2023,4138,Expense,Utilities,Payment for Water
26-11-2022,2534,Expense,Travel,Payment for Flights
24-05-2025,907,Expense,Personal Care,Payment for Gym Membership
11-01-2025,3779,Expense,Housing,Payment for Rent
15-04-2023,2442,Income,Clothing,Payment for Accessories
01-05-2023,4118,Income,Utilities,Payment for Water
14-03-2025,4332,Expense,Savings & Investments,Payment for Stocks
13-01-2024,69,Income,Insurance,Payment for Vehicle Insurance
02-06-2023,2470,Expense,Housing,Payment for Repairs
15-10-2023,3076,Income,Travel,Payment for Flights
15-06-2025,116,Expense,Entertainment,Payment for Streaming Services
12-04-2025,3183,Expense,Clothing,Payment for Formal Wear
10-04-2024,3607,Expense,Education,Payment for Courses
07-09-2025,835,Expense,Dining Out,Payment for Takeaway
17-08-2024,2182,Income,Miscellaneous,Payment for Donations
13-10-2023,1479,Expense,Insurance,Payment for Home Insurance
15-01-2024,1468,Expense,Entertainment,Payment for Streaming Services
25-08-2024,3740,Expense,Clothing,Payment for Formal Wear
27-03-2025,1597,Expense,Entertainment,Payment for Streaming Services
15-05-2025,4321,Expense,Savings & Investments,Payment for Stocks
19-01-2024,408,Expense,Education,Payment for Courses
28-06-2025,1612,Expense,Housing,Payment for Property Tax
11-04-2025,4436,Expense,Clothing,Payment for Accessories
04-09-2024,2227,Expense,Personal Care,Payment for Salon
29-01-2025,3860,Expense,Healthcare,Payment for Medicines
11-07-2025,528,Expense,Savings & Investments,Payment for Fixed Deposits
21-10-2024,697,Income,Utilities,Payment for Gas
13-02-2024,313,Expense,Miscellaneous,Payment for Gifts
23-12-2024,3792,Expense,Travel,Payment for Hotels
08-05-2024,3006,Expense,Debt Payments,Payment for EMI
05-09-2024,1611,Expense,Insurance,Payment for Vehicle Insurance
31-08-2025,1486,Expense,Dining Out,Payment for Cafes
23-04-2023,2055,Expense,Savings & Investments,Payment for Fixed Deposits
26-02-2023,3190,Expense,Transportation,Payment for Public Transport
27-07-2024,957,Expense,Travel,Payment for Flights
09-03-2024,179,Income,Groceries,Payment for Vegetables
12-03-2023,987,Income,Savings & Investments,Payment for Mutual Funds
02-04-2025,3768,Income,Housing,Payment for Repairs
04-07-2025,864,Expense,Healthcare,Payment for Doctor Visits
04-11-2022,4012,Expense,Groceries,Payment for Meat
27-08-2023,3431,Income,Miscellaneous,Payment for Gifts
05-11-2023,64,Expense,Transportation,Payment for Fuel
16-11-2023,2087,Expense,Miscellaneous,Payment for Unexpected Expenses
12-11-2022,3538,Income,Clothing,Payment for Casual Wear
22-04-2023,756,Expense,Insurance,Payment for Life Insurance
29-11-2022,752,Expense,Travel,Payment for Flights
22-11-2023,4891,Expense,Entertainment,Payment for Streaming Services
12-02-2025,4181,Expense,Insurance,Payment for Vehicle Insurance
26-12-2024,4892,Expense,Healthcare,Payment for Doctor Visits
17-10-2022,2605,Expense,Dining Out,Payment for Restaurants
28-09-2023,4791,Expense,Education,Payment for Books
25-07-2025,3036,Expense,Personal Care,Payment for Cosmetics
30-11-2023,3989,Expense,Utilities,Payment for Internet
30-04-2024,3388,Expense,Entertainment,Payment for Concerts
27-03-2024,566,Expense,Housing,Payment for Property Tax
19-08-2023,847,Income,Groceries,Payment for Vegetables
22-11-2022,534,Expense,Debt Payments,Payment for Credit Card
14-11-2024,3724,Expense,Housing,Payment for Rent
16-06-2025,2761,Expense,Travel,Payment for Sightseeing
09-11-2022,492,Income,Miscellaneous,Payment for Donations
17-05-2023,1703,Income,Housing,Payment for Property Tax
25-12-2023,1063,Expense,Miscellaneous,Payment for Donations
27-10-2023,1012,Income,Healthcare,Payment for Doctor
19-08-2024,622,Expense,Education,Payment for Stationery
25-10-2023,4503,Expense,Debt Payments,Payment for Credit Card
24-05-2024,4766,Expense,Groceries,Payment for Dairy
25-02-2025,1880,Income,Travel,Payment for Flights
22-12-2022,3892,Income,Groceries,Payment for Dairy
17-08-2025,4951,Income,Groceries,Payment for Dairy
16-11-2022,865,Income,Housing,Payment for Property Tax
06-12-2022,3721,Expense,Healthcare,Payment for Health Insurance
14-09-2025,2586,Expense,Housing,Payment for Rent
25-08-2024,1260,Income,Personal Care,Payment for Salon
20-01-2024,3184,Income,Personal Care,Payment for Cosmetics
26-12-2024,604,Income,Groceries,Payment for Fruits
22-02-2023,2842,Expense,Savings & Investments,Payment for Mutual Funds
10-07-2025,4970,Expense,Education,Payment for Stationery
29-05-2024,4112,Expense,Insurance,Payment for Life Insurance
18-12-2023,3815,Expense,Education,Payment for Stationery
07-05-2023,4352,Expense,Groceries,Payment for Fruits
01-01-2023,1314,Expense,Clothing,Payment for Casual Wear
17-06-2023,943,Income,Dining Out,Payment for Cafes
13-03-2025,2222,Expense,Insurance,Payment for Life Insurance
27-09-2025,2354,Income,Groceries,Payment for Dairy
05-05-2023,3213,Expense,Healthcare,Payment for Health Insurance
29-12-2022,4882,Income,Healthcare,Payment for Doctor
02-02-2023,4008,Expense,Miscellaneous,Payment for Gifts
17-12-2022,4433,Income,Travel,Payment for Hotels
07-06-2025,1288,Expense,Healthcare,Payment for Health Insurance
01-04-2025,1867,Expense,Groceries,Payment for Vegetables
27-01-2024,816,Expense,Healthcare,Payment for Health Insurance
22-08-2024,2609,Expense,Healthcare,Payment for Doctor
23-10-2022,622,Expense,Transportation,Payment for Car Maintenance
03-03-2023,4513,Expense,Transportation,Payment for Fuel
21-06-2024,2382,Expense,Utilities,Payment for Water
13-09-2025,2160,Income,Clothing,Payment for Shoes
17-10-2022,4791,Expense,Miscellaneous,Payment for Donations
23-05-2023,800,Expense,Entertainment,Payment for Games
02-07-2023,2861,Expense,Housing,Payment for Repairs
12-10-2024,4506,Expense,Healthcare,Payment for Medicines
02-04-2024,3604,Expense,Utilities,Payment for Phone
28-06-2024,2468,Expense,Personal Care,Payment for Salon
23-05-2023,3038,Expense,Education,Payment for Stationery
22-06-2025,904,Expense,Entertainment,Payment for Concerts
22-11-2022,2900,Income,Debt Payments,Payment for Credit Card
12-08-2024,3429,Income,Utilities,Payment for Electricity
15-01-2023,243,Expense,Insurance,Payment for Life Insurance
06-10-2023,1627,Expense,Education,Payment for Tuition
28-05-2025,1530,Expense,Miscellaneous,Payment for Unexpected Expenses
17-04-2023,4478,Income,Savings & Investments,Payment for Fixed Deposits
24-01-2025,796,Expense,Groceries,Payment for Vegetables
19-02-2024,3137,Expense,Clothing,Payment for Shoes
30-06-2023,4790,Expense,Miscellaneous,Payment for Unexpected Expenses
27-04-2023,199,Expense,Transportation,Payment for Taxi
14-02-2024,3915,Expense,Groceries,Payment for Meat
31-08-2024,4947,Income,Savings & Investments,Payment for Fixed Deposits
09-11-2022,2378,Expense,Insurance,Payment for Life Insurance
09-08-2023,1725,Expense,Groceries,Payment for Dairy
24-11-2024,2636,Expense,Utilities,Payment for Water
23-08-2023,2439,Income,Debt Payments,Payment for EMI
04-08-2025,723,Expense,Clothing,Payment for Shoes
08-07-2023,3751,Income,Dining Out,Payment for Cafes
28-04-2025,1410,Expense,Healthcare,Payment for Health Insurance
13-06-2023,3116,Income,Travel,Payment for Flights
25-04-2024,3196,Income,Travel,Payment for Sightseeing
24-04-2024,3667,Income,Savings & Investments,Payment for Mutual Funds
01-06-2024,3117,Income,Clothing,Payment for Casual Wear
06-08-2025,2212,Income,Savings & Investments,Payment for Mutual Funds
12-01-2025,1494,Expense,Utilities,Payment for Electricity
25-11-2023,4075,Income,Education,Payment for Tuition
25-10-2024,2210,Expense,Entertainment,Payment for Movies
30-10-2024,3403,Income,Education,Payment for Courses
26-11-2023,4869,Expense,Miscellaneous,Payment for Donations
01-12-2023,1820,Expense,Groceries,Payment for Fruits
20-04-2023,4594,Income,Personal Care,Payment for Salon
12-04-2023,1752,Expense,Travel,Payment for Hotels
25-09-2024,244,Income,Personal Care,Payment for Gym Membership
10-07-2023,624,Expense,Personal Care,Payment for Salon
12-04-2023,2679,Expense,Clothing,Payment for Formal Wear
01-08-2023,4736,Income,Travel,Payment for Local Transport
12-10-2022,4693,Expense,Miscellaneous,Payment for Donations
13-09-2025,438,Income,Debt Payments,Payment for Credit Card
20-09-2024,1802,Expense,Dining Out,Payment for Restaurants
16-11-2024,710,Expense,Miscellaneous,Payment for Donations
10-03-2024,2882,Expense,Dining Out,Payment for Takeaway
04-12-2024,4679,Expense,Dining Out,Payment for Cafes
07-09-2023,346,Income,Clothing,Payment for Formal Wear
25-04-2023,380,Income,Housing,Payment for Repairs
30-06-2024,3899,Income,Dining Out,Payment for Takeaway
07-06-2023,1334,Expense,Utilities,Payment for Gas
26-06-2023,1128,Income,Transportation,Payment for Public Transport
05-04-2025,924,Expense,Housing,Payment for Mortgage
21-11-2023,3916,Expense,Debt Payments,Payment for Loans
01-12-2024,4887,Income,Education,Payment for Tuition
22-09-2024,2735,Expense,Personal Care,Payment for Cosmetics
05-12-2023,2539,Expense,Housing,Payment for Repairs
15-01-2023,1635,Expense,Debt Payments,Payment for Credit Card
30-06-2024,3857,Expense,Healthcare,Payment for Medicines
03-09-2025,2990,Expense,Miscellaneous,Payment for Gifts
12-10-2023,4536,Expense,Clothing,Payment for Shoes
13-05-2025,4518,Expense,Housing,Payment for Mortgage
09-01-2023,1552,Expense,Clothing,Payment for Shoes
08-03-2025,795,Income,Transportation,Payment for Car Maintenance
29-01-2025,2662,Expense,Groceries,Payment for Vegetables
14-08-2025,1558,Income,Dining Out,Payment for Restaurants
11-03-2024,1820,Income,Education,Payment for Tuition
07-08-2024,3829,Expense,Entertainment,Payment for Streaming Services
13-06-2025,2011,Expense,Clothing,Payment for Casual Wear
30-11-2023,1645,Expense,Healthcare,Payment for Medicines
28-12-2024,4830,Income,Savings & Investments,Payment for Fixed Deposits
17-04-2025,2583,Expense,Utilities,Payment for Internet
25-08-2025,3708,Expense,Groceries,Payment for Dairy
21-02-2024,515,Income,Groceries,Payment for Vegetables
26-10-2023,2119,Expense,Transportation,Payment for Public Transport
10-09-2024,2493,Expense,Personal Care,Payment for Cosmetics
04-02-2024,1282,Expense,Entertainment,Payment for Movies
28-03-2024,194,Income,Debt Payments,Payment for EMI
14-05-2024,2402,Income,Personal Care,Payment for Cosmetics
22-10-2023,1857,Expense,Education,Payment for Courses
05-03-2023,3098,Expense,Groceries,Payment for Fruits
22-07-2025,4092,Expense,Miscellaneous,Payment for Gifts
14-03-2023,4189,Income,Travel,Payment for Hotels
15-05-2025,4252,Expense,Entertainment,Payment for Movies
11-11-2023,4295,Expense,Transportation,Payment for Car Maintenance
10-04-2023,1337,Income,Personal Care,Payment for Gym Membership
21-05-2023,159,Expense,Insurance,Payment for Home Insurance
15-09-2024,4895,Expense,Insurance,Payment for Life Insurance
22-12-2024,4869,Income,Dining Out,Payment for Restaurants
06-11-2023,2840,Income,Miscellaneous,Payment for Gifts
09-03-2025,4473,Expense,Entertainment,Payment for Streaming Services
06-08-2024,911,Expense,Entertainment,Payment for Movies
05-12-2022,510,Expense,Clothing,Payment for Casual Wear
25-12-2022,1154,Expense,Dining Out,Payment for Cafes
03-05-2023,793,Income,Debt Payments,Payment for EMI
29-09-2022,2460,Expense,Housing,Payment for Rent
15-02-2023,3842,Expense,Entertainment,Payment for Games
07-06-2024,492,Income,Miscellaneous,Payment for Gifts
08-02-2023,1883,Expense,Groceries,Payment for Snacks
25-03-2023,935,Income,Debt Payments,Payment for Loans
16-12-2024,3654,Income,Transportation,Payment for Public Transport
13-10-2023,4406,Income,Education,Payment for Books
24-03-2025,4425,Income,Healthcare,Payment for Doctor Visits
17-07-2024,3271,Expense,Dining Out,Payment for Cafes
22-12-2023,201,Expense,Utilities,Payment for Phone
06-05-2024,1646,Expense,Healthcare,Payment for Medicines
